Zhou,1,12,7,11,9,5,3,1000,1000,1,0,7,1,11
Zhou,2,14,9,12,11,7,5,2000,3000,,,,,
Zhou,3,16,11,14,12,9,7,3000,6000,,,,,
Zhou,4,18,12,16,14,11,9,4000,10000,,,,,
Zhou,5,20,14,18,16,12,11,5000,15000,,,,,
Zhou,6,22,16,20,18,14,12,6000,21000,,,,,
Zhou,7,24,18,22,20,16,14,7000,28000,,,,,
Zhou,8,25,20,24,22,18,16,8000,36000,,,,,
Zhou,9,27,22,25,24,20,18,9000,45000,,,,,
Zhou,10,29,24,27,25,22,20,10000,55000,,,,,
Zhou,11,31,25,29,27,24,22,11000,66000,,,,,
Magnussen,1,9,13,4,11,7,5,1000,1000,1,0,8,1,11
Magnussen,2,11,15,5,13,9,7,2000,3000,,,,,
Magnussen,3,13,17,7,15,11,9,3000,6000,,,,,
Magnussen,4,15,18,9,17,13,11,4000,10000,,,,,
Magnussen,5,17,20,11,18,15,13,5000,15000,,,,,
Magnussen,6,18,22,13,20,17,15,6000,21000,,,,,
Magnussen,7,20,24,15,22,18,17,7000,28000,,,,,
Magnussen,8,22,26,17,24,20,18,8000,36000,,,,,
Magnussen,9,24,28,18,26,22,20,9000,45000,,,,,
Magnussen,10,26,30,20,28,24,22,10000,55000,,,,,
Magnussen,11,28,31,22,30,26,24,11000,66000,,,,,
Latifi,1,4,6,10,8,11,13,1000,1000,1,0,9,1,11
Latifi,2,6,8,11,10,13,15,2000,3000,,,,,
Latifi,3,8,10,13,11,15,17,3000,6000,,,,,
Latifi,4,10,11,15,13,17,19,4000,10000,,,,,
Latifi,5,11,13,17,15,19,21,5000,15000,,,,,
Latifi,6,13,15,19,17,21,22,6000,21000,,,,,
Latifi,7,15,17,21,19,22,24,7000,28000,,,,,
Latifi,8,17,19,22,21,24,26,8000,36000,,,,,
Latifi,9,19,21,24,22,26,28,9000,45000,,,,,
Latifi,10,21,22,26,24,28,30,10000,55000,,,,,
Latifi,11,22,24,28,26,30,32,11000,66000,,,,,
Schumacher,1,9,7,14,16,12,11,4000,4000,1,0,10,1,11
Schumacher,2,11,9,16,18,14,12,8000,12000,,,,,
Schumacher,3,12,11,18,20,16,14,12000,24000,,,,,
Schumacher,4,14,12,20,22,18,16,16000,40000,,,,,
Schumacher,5,16,14,22,24,20,18,20000,60000,,,,,
Schumacher,6,18,16,24,25,22,20,24000,84000,,,,,
Schumacher,7,20,18,25,27,24,22,28000,112000,,,,,
Schumacher,8,22,20,27,29,25,24,32000,144000,,,,,
Schumacher,9,24,22,29,31,27,25,36000,180000,,,,,
Schumacher,10,25,24,31,33,29,27,40000,220000,,,,,
Schumacher,11,27,25,33,35,31,29,44000,66000,,,,,
Albon,1,11,15,7,9,17,13,4000,4000,1,0,11,2,11
Albon,2,13,17,9,11,18,15,8000,12000,,,,,
Albon,3,15,18,11,13,20,17,12000,24000,,,,,
Albon,4,17,20,13,15,22,18,16000,40000,,,,,
Albon,5,18,22,15,17,24,20,20000,60000,,,,,
Albon,6,20,24,17,18,26,22,24000,84000,,,,,
Albon,7,22,26,18,20,28,24,28000,112000,,,,,
Albon,8,24,28,20,22,30,26,32000,144000,,,,,
Albon,9,26,30,22,24,31,28,36000,180000,,,,,
Albon,10,28,31,24,26,33,30,40000,220000,,,,,
Albon,11,30,33,26,28,35,31,44000,66000,,,,,
Tsunoda,1,15,11,17,13,10,8,4000,4000,1,0,7,1,11
Tsunoda,2,17,13,19,15,11,10,8000,12000,,,,,
Tsunoda,3,19,15,21,17,13,11,12000,24000,,,,,
Tsunoda,4,21,17,22,19,15,13,16000,40000,,,,,
Tsunoda,5,22,19,24,21,17,15,20000,60000,,,,,
Tsunoda,6,24,21,26,22,19,17,24000,84000,,,,,
Tsunoda,7,26,22,28,24,21,19,28000,112000,,,,,
Tsunoda,8,28,24,30,26,22,21,32000,144000,,,,,
Tsunoda,9,30,26,32,28,24,22,36000,180000,,,,,
Tsunoda,10,32,28,34,30,26,24,40000,220000,,,,,
Tsunoda,11,34,30,35,32,28,26,44000,66000,,,,,
Stroll,1,17,14,12,10,8,15,4000,4000,1,0,8,2,11
Stroll,2,19,15,14,12,10,17,8000,12000,,,,,
Stroll,3,21,17,15,14,12,19,12000,24000,,,,,
Stroll,4,23,19,17,15,14,21,16000,40000,,,,,
Stroll,5,25,21,19,17,15,23,20000,60000,,,,,
Stroll,6,27,23,21,19,17,25,24000,84000,,,,,
Stroll,7,28,25,23,21,19,27,28000,112000,,,,,
Stroll,8,30,27,25,23,21,28,32000,144000,,,,,
Stroll,9,32,28,27,25,23,30,36000,180000,,,,,
Stroll,10,34,30,28,27,25,32,40000,220000,,,,,
Stroll,11,36,32,30,28,27,34,44000,66000,,,,,
Bottas,1,16,20,11,14,18,12,14000,14000,1,0,9,1,11
Bottas,2,18,22,12,16,20,14,28000,42000,,,,,
Bottas,3,20,24,14,18,22,16,42000,84000,,,,,
Bottas,4,22,25,16,20,24,18,56000,140000,,,,,
Bottas,5,24,27,18,22,25,20,70000,210000,,,,,
Bottas,6,25,29,20,24,27,22,84000,294000,,,,,
Bottas,7,27,31,22,25,29,24,98000,392000,,,,,
Bottas,8,29,33,24,27,31,25,112000,504000,,,,,
Bottas,9,31,35,25,29,33,27,126000,630000,,,,,
Bottas,10,33,37,27,31,35,29,140000,770000,,,,,
Bottas,11,35,38,29,33,37,31,154000,924000,,,,,
Ocon,1,11,18,13,20,17,15,14000,14000,1,0,10,1,11
Ocon,2,13,20,15,22,18,17,28000,42000,,,,,
Ocon,3,15,22,17,24,20,18,42000,84000,,,,,
Ocon,4,17,24,18,26,22,20,56000,140000,,,,,
Ocon,5,18,26,20,28,24,22,70000,210000,,,,,
Ocon,6,20,28,22,30,26,24,84000,294000,,,,,
Ocon,7,22,30,24,31,28,26,98000,392000,,,,,
Ocon,8,24,31,26,33,30,28,112000,504000,,,,,
Ocon,9,26,33,28,35,31,30,126000,630000,,,,,
Ocon,10,28,35,30,37,33,31,140000,770000,,,,,
Ocon,11,30,37,31,39,35,33,154000,924000,,,,,
Vettel,1,19,15,17,13,11,21,14000,14000,1,0,11,2,11
Vettel,2,21,17,19,15,13,22,28000,42000,,,,,
Vettel,3,22,19,21,17,15,24,42000,84000,,,,,
Vettel,4,24,21,22,19,17,26,56000,140000,,,,,
Vettel,5,26,22,24,21,19,28,70000,210000,,,,,
Vettel,6,28,24,26,22,21,30,84000,294000,,,,,
Vettel,7,30,26,28,24,22,32,98000,392000,,,,,
Vettel,8,32,28,30,26,24,34,112000,504000,,,,,
Vettel,9,34,30,32,28,26,35,126000,630000,,,,,
Vettel,10,35,32,34,30,28,37,140000,770000,,,,,
Vettel,11,37,34,35,32,30,39,154000,924000,,,,,
Ricciardo,1,14,12,15,19,21,17,14000,14000,1,0,7,1,11
Ricciardo,2,15,14,17,21,23,19,28000,42000,,,,,
Ricciardo,3,17,15,19,23,25,21,42000,84000,,,,,
Ricciardo,4,19,17,21,25,27,23,56000,140000,,,,,
Ricciardo,5,21,19,23,27,28,25,70000,210000,,,,,
Ricciardo,6,23,21,25,28,30,27,84000,294000,,,,,
Ricciardo,7,25,23,27,30,32,28,98000,392000,,,,,
Ricciardo,8,27,25,28,32,34,30,112000,504000,,,,,
Ricciardo,9,28,27,30,34,36,32,126000,630000,,,,,
Ricciardo,10,30,28,32,36,38,34,140000,770000,,,,,
Ricciardo,11,32,30,34,38,40,36,154000,924000,,,,,
Perez,1,18,16,24,14,20,22,40000,40000,1,0,8,2,11
Perez,2,20,18,25,16,22,24,80000,120000,,,,,
Perez,3,22,20,27,18,24,25,120000,240000,,,,,
Perez,4,24,22,29,20,25,27,160000,400000,,,,,
Perez,5,25,24,31,22,27,29,200000,600000,,,,,
Perez,6,27,25,33,24,29,31,240000,840000,,,,,
Perez,7,29,27,35,25,31,33,280000,1120000,,,,,
Perez,8,31,29,37,27,33,35,320000,1440000,,,,,
Perez,9,33,31,38,29,35,37,360000,1800000,,,,,
Perez,10,35,33,40,31,37,38,400000,2200000,,,,,
Perez,11,37,35,42,33,38,40,440000,2640000,,,,,
Alonso,1,24,20,18,22,15,17,40000,40000,1,0,9,1,11
Alonso,2,26,22,20,24,17,18,80000,120000,,,,,
Alonso,3,28,24,22,26,18,20,120000,240000,,,,,
Alonso,4,30,26,24,28,20,22,160000,400000,,,,,
Alonso,5,31,28,26,30,22,24,200000,600000,,,,,
Alonso,6,33,30,28,31,24,26,240000,840000,,,,,
Alonso,7,35,31,30,33,26,28,280000,1120000,,,,,
Alonso,8,37,33,31,35,28,30,320000,1440000,,,,,
Alonso,9,39,35,33,37,30,31,360000,1800000,,,,,
Alonso,10,41,37,35,39,31,33,400000,2200000,,,,,
Alonso,11,42,39,37,41,33,35,440000,2640000,,,,,
Gasly,1,21,24,17,19,22,15,40000,40000,1,0,10,2,11
Gasly,2,22,26,19,21,24,17,80000,120000,,,,,
Gasly,3,24,28,21,22,26,19,120000,240000,,,,,
Gasly,4,26,30,22,24,28,21,160000,400000,,,,,
Gasly,5,28,32,24,26,30,22,200000,600000,,,,,
Gasly,6,30,34,26,28,32,24,240000,840000,,,,,
Gasly,7,32,35,28,30,34,26,280000,1120000,,,,,
Gasly,8,34,37,30,32,35,28,320000,1440000,,,,,
Gasly,9,35,39,32,34,37,30,360000,1800000,,,,,
Gasly,10,37,41,34,35,39,32,400000,2200000,,,,,
Gasly,11,39,43,35,37,41,34,440000,2640000,,,,,
Sainz,1,15,23,21,19,17,25,40000,40000,1,0,11,1,11
Sainz,2,17,25,23,21,19,27,80000,120000,,,,,
Sainz,3,19,27,25,23,21,28,120000,240000,,,,,
Sainz,4,21,28,27,25,23,30,160000,400000,,,,,
Sainz,5,23,30,28,27,25,32,200000,600000,,,,,
Sainz,6,25,32,30,28,27,34,240000,840000,,,,,
Sainz,7,27,34,32,30,28,36,280000,1120000,,,,,
Sainz,8,28,36,34,32,30,38,320000,1440000,,,,,
Sainz,9,30,38,36,34,32,40,360000,1800000,,,,,
Sainz,10,32,40,38,36,34,41,400000,2200000,,,,,
Sainz,11,34,41,40,38,36,43,440000,2640000,,,,,
Leclerc,1,18,16,24,22,25,20,110000,110000,1,0,7,1,11
Leclerc,2,20,18,25,24,27,22,220000,330000,,,,,
Leclerc,3,22,20,27,25,29,24,330000,660000,,,,,
Leclerc,4,24,22,29,27,31,25,440000,1100000,,,,,
Leclerc,5,25,24,31,29,33,27,550000,1650000,,,,,
Leclerc,6,27,25,33,31,35,29,660000,2310000,,,,,
Leclerc,7,29,27,35,33,37,31,770000,3080000,,,,,
Leclerc,8,31,29,37,35,38,33,880000,3960000,,,,,
Leclerc,9,33,31,38,37,40,35,990000,4950000,,,,,
Leclerc,10,35,33,40,38,42,37,1100000,6050000,,,,,
Leclerc,11,37,35,42,40,44,38,1210000,7260000,,,,,
Russell,1,24,26,18,17,20,22,110000,110000,1,0,8,2,11
Russell,2,26,28,20,18,22,24,220000,330000,,,,,
Russell,3,28,30,22,20,24,26,330000,660000,,,,,
Russell,4,30,31,24,22,26,28,440000,1100000,,,,,
Russell,5,31,33,26,24,28,30,550000,1650000,,,,,
Russell,6,33,35,28,26,30,31,660000,2310000,,,,,
Russell,7,35,37,30,28,31,33,770000,3080000,,,,,
Russell,8,37,39,31,30,33,35,880000,3960000,,,,,
Russell,9,39,41,33,31,35,37,990000,4950000,,,,,
Russell,10,41,42,35,33,37,39,1100000,6050000,,,,,
Russell,11,42,44,37,35,39,41,1210000,7260000,,,,,
Norris,1,21,19,17,26,22,24,110000,110000,1,0,9,1,11
Norris,2,22,21,19,28,24,26,220000,330000,,,,,
Norris,3,24,22,21,30,26,28,330000,660000,,,,,
Norris,4,26,24,22,32,28,30,440000,1100000,,,,,
Norris,5,28,26,24,34,30,32,550000,1650000,,,,,
Norris,6,30,28,26,35,32,34,660000,2310000,,,,,
Norris,7,32,30,28,37,34,35,770000,3080000,,,,,
Norris,8,34,32,30,39,35,37,880000,3960000,,,,,
Norris,9,35,34,32,41,37,39,990000,4950000,,,,,
Norris,10,37,35,34,43,39,41,1100000,6050000,,,,,
Norris,11,39,37,35,45,41,43,1210000,7260000,,,,,
Verstappen,1,27,23,21,19,25,17,110000,110000,1,0,10,2,11
Verstappen,2,28,25,23,21,27,19,220000,330000,,,,,
Verstappen,3,30,27,25,23,28,21,330000,660000,,,,,
Verstappen,4,32,28,27,25,30,23,440000,1100000,,,,,
Verstappen,5,34,30,28,27,32,25,550000,1650000,,,,,
Verstappen,6,36,32,30,28,34,27,660000,2310000,,,,,
Verstappen,7,38,34,32,30,36,28,770000,3080000,,,,,
Verstappen,8,40,36,34,32,38,30,880000,3960000,,,,,
Verstappen,9,41,38,36,34,40,32,990000,4950000,,,,,
Verstappen,10,43,40,38,36,41,34,1100000,6050000,,,,,
Verstappen,11,45,41,40,38,43,36,1210000,7260000,,,,,
Hamilton,1,24,25,27,18,22,20,110000,110000,1,0,11,1,11
Hamilton,2,25,27,29,20,24,22,220000,330000,,,,,
Hamilton,3,27,29,31,22,25,24,330000,660000,,,,,
Hamilton,4,29,31,33,24,27,25,440000,1100000,,,,,
Hamilton,5,31,33,35,25,29,27,550000,1650000,,,,,
Hamilton,6,33,35,37,27,31,29,660000,2310000,,,,,
Hamilton,7,35,37,38,29,33,31,770000,3080000,,,,,
Hamilton,8,37,38,40,31,35,33,880000,3960000,,,,,
