Sargeant,1,6,7,12,14,16,_,0,0,1,0,1,1,11
Sargeant,2,10,11,16,18,20,_,200,200,_,_,_,_,_
Sargeant,3,13,14,19,21,23,_,400,600,_,_,_,_,_
Sargeant,4,17,18,23,25,27,_,750,1350,_,_,_,_,_
Sargeant,5,21,22,27,29,31,_,1500,2850,_,_,_,_,_
Sargeant,6,25,26,31,33,35,_,2500,5350,_,_,_,_,_
Sargeant,7,28,29,34,36,38,_,5000,10350,_,_,_,_,_
Sargeant,8,32,33,38,40,42,_,10000,20350,_,_,_,_,_
Sargeant,9,36,37,42,44,46,_,25000,45350,_,_,_,_,_
Sargeant,10,39,40,45,47,49,_,50000,95350,_,_,_,_,_
Sargeant,11,43,44,49,51,53,_,100000,195350,_,_,_,_,_
Piastri,1,7,11,13,18,6,_,0,0,1,0,1,1,11
Piastri,2,11,15,17,22,10,_,200,200,_,_,_,_,_
Piastri,3,14,18,20,25,13,_,400,600,_,_,_,_,_
Piastri,4,18,22,24,29,17,_,750,1350,_,_,_,_,_
Piastri,5,22,26,28,33,21,_,1500,2850,_,_,_,_,_
Piastri,6,26,30,32,37,25,_,2500,5350,_,_,_,_,_
Piastri,7,29,33,35,40,28,_,5000,10350,_,_,_,_,_
Piastri,8,33,37,39,44,32,_,10000,20350,_,_,_,_,_
Piastri,9,37,41,43,48,36,_,25000,45350,_,_,_,_,_
Piastri,10,40,44,46,51,39,_,50000,95350,_,_,_,_,_
Piastri,11,44,48,50,55,43,_,100000,195350,_,_,_,_,_
Hulkenberg,1,10,15,18,5,7,_,0,0,1,0,0,1,11
Hulkenberg,2,14,19,22,9,11,_,200,200,_,_,_,_,_
Hulkenberg,3,17,22,25,12,14,_,400,600,_,_,_,_,_
Hulkenberg,4,21,26,29,16,18,_,750,1350,_,_,_,_,_
Hulkenberg,5,25,30,33,20,22,_,1500,2850,_,_,_,_,_
Hulkenberg,6,29,34,37,24,26,_,2500,5350,_,_,_,_,_
Hulkenberg,7,32,37,40,27,29,_,5000,10350,_,_,_,_,_
Hulkenberg,8,36,41,44,31,33,_,10000,20350,_,_,_,_,_
Hulkenberg,9,40,45,48,35,37,_,25000,45350,_,_,_,_,_
Hulkenberg,10,43,48,51,38,40,_,50000,95350,_,_,_,_,_
Hulkenberg,11,47,52,55,42,44,_,100000,195350,_,_,_,_,_
de Vries,1,19,21,8,13,14,_,0,0,1,0,0,1,11
de Vries,2,23,25,12,17,18,_,220,220,_,_,_,_,_
de Vries,3,26,28,15,20,21,_,440,660,_,_,_,_,_
de Vries,4,30,32,19,24,25,_,825,1485,_,_,_,_,_
de Vries,5,34,36,23,28,29,_,1650,3135,_,_,_,_,_
de Vries,6,38,40,27,32,33,_,2750,5885,_,_,_,_,_
de Vries,7,41,43,30,35,36,_,5500,11385,_,_,_,_,_
de Vries,8,45,47,34,39,40,_,11000,22385,_,_,_,_,_
de Vries,9,49,51,38,43,44,_,27500,49885,_,_,_,_,_
de Vries,10,52,54,41,46,47,_,55000,104885,_,_,_,_,_
de Vries,11,56,58,45,50,51,_,11000,115885,_,_,_,_,_
Albon,1,21,10,12,14,18,_,0,0,1,0,0,2,11
Albon,2,25,14,16,18,22,_,220,220,_,_,_,_,_
Albon,3,28,17,19,21,25,_,440,660,_,_,_,_,_
Albon,4,32,21,23,25,29,_,825,1485,_,_,_,_,_
Albon,5,36,25,27,29,33,_,1650,3135,_,_,_,_,_
Albon,6,40,29,31,33,37,_,2750,5885,_,_,_,_,_
Albon,7,43,32,34,36,40,_,5500,11385,_,_,_,_,_
Albon,8,47,36,38,40,44,_,11000,22385,_,_,_,_,_
Albon,9,51,40,42,44,48,_,27500,49885,_,_,_,_,_
Albon,10,54,43,45,47,51,_,55000,104885,_,_,_,_,_
Albon,11,58,47,49,51,55,_,110000,214885,_,_,_,_,_
Tsunoda,1,14,17,9,22,13,_,0,0,1,0,0,1,11
Tsunoda,2,18,21,13,26,17,_,220,220,_,_,_,_,_
Tsunoda,3,21,24,16,29,20,_,440,660,_,_,_,_,_
Tsunoda,4,25,28,20,33,24,_,825,1485,_,_,_,_,_
Tsunoda,5,29,32,24,37,28,_,1650,3135,_,_,_,_,_
Tsunoda,6,33,36,28,41,32,_,2750,5885,_,_,_,_,_
Tsunoda,7,36,39,31,44,35,_,5500,11385,_,_,_,_,_
Tsunoda,8,40,43,35,48,39,_,11000,22385,_,_,_,_,_
Tsunoda,9,44,47,39,52,43,_,27500,49885,_,_,_,_,_
Tsunoda,10,47,50,42,55,46,_,55000,104885,_,_,_,_,_
Tsunoda,11,51,54,46,59,50,_,110000,214885,_,_,_,_,_
Zhou,1,12,15,19,9,20,_,0,0,1,0,0,2,11
Zhou,2,16,19,23,13,24,_,220,220,_,_,_,_,_
Zhou,3,19,22,26,16,27,_,440,660,_,_,_,_,_
Zhou,4,23,26,30,20,31,_,825,1485,_,_,_,_,_
Zhou,5,27,30,34,24,35,_,1650,3135,_,_,_,_,_
Zhou,6,31,34,38,28,39,_,2750,5885,_,_,_,_,_
Zhou,7,34,37,41,31,42,_,5500,11385,_,_,_,_,_
Zhou,8,38,41,45,35,46,_,11000,22385,_,_,_,_,_
Zhou,9,42,45,49,39,50,_,27500,49885,_,_,_,_,_
Zhou,10,45,48,52,42,53,_,55000,104885,_,_,_,_,_
Zhou,11,49,52,56,46,57,_,110000,214885,_,_,_,_,_
Bottas,1,26,16,19,21,13,_,0,0,1,0,0,1,11
Bottas,2,30,20,23,25,17,_,240,240,_,_,_,_,_
Bottas,3,33,23,26,28,20,_,480,720,_,_,_,_,_
Bottas,4,37,27,30,32,24,_,900,1620,_,_,_,_,_
Bottas,5,41,31,34,36,28,_,1800,3420,_,_,_,_,_
Bottas,6,45,35,38,40,32,_,3000,6420,_,_,_,_,_
Bottas,7,48,38,41,43,35,_,6000,12420,_,_,_,_,_
Bottas,8,52,42,45,47,39,_,12000,24420,_,_,_,_,_
Bottas,9,56,46,49,51,43,_,30000,54420,_,_,_,_,_
Bottas,10,59,49,52,54,46,_,60000,114420,_,_,_,_,_
Bottas,11,63,53,56,58,50,_,120000,234420,_,_,_,_,_
Magnussen,1,12,26,16,20,21,_,0,0,1,0,0,1,11
Magnussen,2,16,30,20,24,25,_,240,240,_,_,_,_,_
Magnussen,3,19,33,23,27,28,_,480,720,_,_,_,_,_
Magnussen,4,23,37,27,31,32,_,900,1620,_,_,_,_,_
Magnussen,5,27,41,31,35,36,_,1800,3420,_,_,_,_,_
Magnussen,6,31,45,35,39,40,_,3000,6420,_,_,_,_,_
Magnussen,7,34,48,38,42,43,_,6000,12420,_,_,_,_,_
Magnussen,8,38,52,42,46,47,_,12000,24420,_,_,_,_,_
Magnussen,9,42,56,46,50,51,_,30000,54420,_,_,_,_,_
Magnussen,10,45,59,49,53,54,_,60000,114420,_,_,_,_,_
Magnussen,11,49,63,53,57,58,_,120000,234420,_,_,_,_,_
Ocon,1,23,12,24,17,19,_,0,0,1,0,0,2,11
